Designator,Mid X,Mid Y,Rotation,Layer
D1,135.95,-108.2625,0.0,top
D10,160.45,-114.5125,180.0,top
D11,160.35,-106.2625,180.0,top
D12,160.35,-104.2625,0.0,top
D13,142.55,-119.2625,0.0,top
D14,153.75,-119.2625,0.0,top
D2,135.95,-110.2625,180.0,top
D3,135.95,-106.2625,0.0,top
D4,135.95,-104.2625,180.0,top
D5,135.95,-112.2625,0.0,top
D6,135.95,-114.2625,180.0,top
D7,160.35,-108.2625,0.0,top
D8,160.35,-110.2625,180.0,top
D9,160.45,-112.3125,0.0,top
R1,145.75,-98.6625,270.0,top
R2,148.15,-98.6625,270.0,top
R3,149.825,-103.7625,0.0,top
R4,153.4125,-103.7625,0.0,top
R5,156.825,-103.7625,0.0,top
R6,147.3375,-115.0125,0.0,top
R7,142.15,-114.8625,0.0,top
R8,153.55,-114.8625,0.0,top
SW1,141.75,-109.3625,90.0,top
SW2,148.125,-109.3335,90.0,top
SW3,154.3875,-109.3125,90.0,top
U1,148.1875,-109.3335,0.0,bottom
